ra_h,dec,mag,name
6.7525,-16.716,-1.44,Sirius
6.3992,-52.696,-0.62,Canopus
14.261,19.182,-0.05,Arcturus
14.6608,-60.834,-0.01,Rigil Kentaurus
18.6156,38.784,0.03,Vega
5.2782,45.998,0.08,Capella
5.2423,-8.202,0.18,Rigel
7.655,5.225,0.4,Procyon
1.6286,-57.237,0.45,Achernar
5.9195,7.407,0.45,Betelgeuse
14.0637,-60.373,0.61,Hadar
19.8464,8.868,0.76,Altair
12.4433,-63.099,0.77,Acrux
4.5987,16.509,0.87,Aldebaran
5.2779,46.001,0.96,
13.4199,-11.161,0.98,Spica
16.4901,-26.432,1.06,Antares
7.7553,28.026,1.16,Pollux
22.9608,-29.622,1.17,Fomalhaut
12.7954,-59.689,1.25,Mimosa
20.6905,45.28,1.25,Deneb
14.6603,-60.838,1.35,Toliman
10.1395,11.967,1.36,Regulus
6.9771,-28.972,1.5,Adhara
7.5766,31.888,1.58,Castor
12.5194,-57.113,1.59,Gacrux
17.5601,-37.104,1.62,Shaula
5.4189,6.35,1.64,Bellatrix
5.4382,28.607,1.65,Elnath
9.22,-69.717,1.67,Miaplacidus
5.6036,-1.202,1.69,Alnilam
22.1372,-46.961,1.73,Alnair
5.6793,-1.943,1.74,Alnitak
8.1589,-47.337,1.75,
12.9005,55.96,1.76,Alioth
3.4054,49.861,1.79,Mirfak
18.4029,-34.385,1.79,Kaus Australis
11.0622,61.751,1.81,Dubhe
7.1399,-26.393,1.83,Wezen
13.7924,49.313,1.85,Alkaid
8.3752,-59.509,1.86,Avior
17.622,-42.998,1.86,Sargas
5.9921,44.947,1.9,Menkalinan
16.8111,-69.028,1.91,Atria
6.6285,16.399,1.93,Alhena
8.7451,-54.709,1.93,Alsephina
20.4275,-56.735,1.94,Peacock
2.5297,89.264,1.97,Polaris
6.3783,-17.956,1.98,Mirzam
9.4598,-8.659,1.99,Alphard
2.1196,23.462,2.01,Hamal
10.3329,19.841,2.01,Algieba
0.7265,-17.987,2.04,Diphda
18.9211,-26.297,2.05,Nunki
14.1114,-36.37,2.06,Menkent
0.1398,29.09,2.07,Alpheratz
1.1622,35.621,2.07,Mirach
5.7959,-9.67,2.07,Saiph
14.8451,74.156,2.07,Kochab
22.7111,-46.885,2.07,Tiaki
17.5822,12.56,2.08,Rasalhague
3.1361,40.956,2.09,Algol
2.065,42.33,2.1,Almach
11.8177,14.572,2.14,Denebola
0.9451,60.717,2.15,Cih
12.692,-48.96,2.2,
8.0597,-40.003,2.21,Naos
